name,age,sex,height,weight,bmi,sibling_count,birth_order,years_played_sports
Jin,15,M,66,165,26.63,4,5,5
Sue,24,F,62,136,24.87,2,1,10
Ellen,23,F,69,167,24.66,3,2,8
Tina,18,F,67,140,18.79,1,2,0
Jerry,47,M,66,182,29.37,1,1,5
Nathaniel,32,M,73,209,27.57,2,1,0
Bob,32,,70,186,26.69,0,1,4
Ted,46,M,78,234,27.04,0,1,2
Alice,18,F,66,140,22.59,2,3,10
Donald,22,M,67,168,26.31,0,1,1
Patsy,71,F,69,187,27.61,2,3,0
Laura,28,F,66,159,20.82,1,2,6
Jim,54,M,71,210,29.29,1,1,0
Harry,54,M,70,196,28.12,1,1,3
Jack,57,M,68,190,28.89,3,3,28
Stan,44,M,68,162,24.63,6,4,30
Jen,38,,57,153,33.11,0,1,1
Maria,17,F,68,111,16.88,1,2,1
Linda,66,F,65,160,26.62,3,2,45
Barb,74,,64,144,24.71,4,3,39
